language,score,frequency
english,0.21516358,579
swedish,0.30434783,20
dutch,0.31329016,47
urdu,0.31431159,16
tagalog,0.32286634,18
german,0.34742351,36
serbian,0.35426731,18
macedonian,0.35451505,26
polish,0.385763,34
hindi,0.3921095,18
japanese,0.39881911,27
romanian,0.40217391,20
bengali,0.40750213,17
french,0.41821946,63
farsi,0.42155009,23
bulgarian,0.42512077,18
arabic,0.43123046,102
portuguese,0.44746377,48
spanish,0.45947397,162
russian,0.46346618,48
amharic,0.47826087,20
italian,0.48045674,33
cantonese,0.49401386,23
mandarin,0.49453735,65
turkish,0.52017235,37
korean,0.52396878,52
vietnamese,0.59486166,22